,family_history,sex,peer_discussion
200,Yes,female,Maybe
201,Yes,male,Yes
202,I don't know,Male,Yes
203,Yes,Female,
204,Yes,Female,Maybe
205,Yes,female,Maybe
206,I don't know,Male,No
207,Yes,female,Yes
208,No,Agender trans woman,Yes
209,No,male,Yes
210,Yes,Female,Yes
211,Yes,Female,Maybe
212,I don't know,m,No
213,I don't know,Male,Yes
214,No,male,Maybe
215,I don't know,Female ,
216,Yes,Male,Maybe
217,I don't know,female,No
218,Yes,Male,No
219,Yes,male,Maybe
220,No,femmina,Maybe
221,Yes,Male,No
222,Yes,male,
223,No,Male,Maybe
224,No,Female,Maybe
225,No,Male,Maybe
226,No,female,Maybe
227,No,Male,Yes
228,I don't know,male,Maybe
229,Yes,male,Maybe
230,No,43,Maybe
231,No,Female,
232,Yes,male,No
233,I don't know,Male,Maybe
234,Yes,Female,Yes
235,Yes,female,No
236,Yes,Trans man,Maybe
237,Yes,female,No
238,No,Male,Maybe
239,Yes,Male,
240,No,male,No
241,I don't know,man,
242,No,male,Maybe
243,Yes,Male,Maybe
244,I don't know,Female,Yes
245,I don't know,Male,Yes
246,Yes,Female,Yes
247,I don't know,M,Maybe
248,No,Male,No
249,Yes,Male,Maybe
250,Yes,Female,Yes
251,Yes,Male,No
252,I don't know,Male,Yes
253,I don't know,Male,No
254,No,Male,Yes
255,Yes,Male,
256,No,F,No
257,Yes,M,Yes
258,No,Woman,Yes
259,No,m,No
260,Yes,Male,
261,Yes,Male,Maybe
262,No,male,Maybe
263,I don't know,male,Yes
264,No,masculino,No
265,No,male,
266,No,Male,No
267,Yes,Male,No
268,Yes,male,Yes
269,No,male,No
270,Yes,Male,No
271,Yes,Male,
272,No,male,Maybe
273,Yes,Male,No
274,No,F,Maybe
275,I don't know,female,
276,I don't know,Male,Maybe
277,I don't know,Male,
278,No,Female,
279,I don't know,male,No
280,Yes,F,Maybe
281,I don't know,f,Maybe
282,Yes,,No
283,I don't know,Male,Maybe
284,No,female,Yes
285,Yes,M,No
286,Yes,I am a Wookie,
287,I don't know,Female,Maybe
288,I don't know,Female ,Maybe
289,Yes,female,No
290,Yes,female,Maybe
291,No,Male,
292,Yes,Make,Maybe
293,No,Male,
294,Yes,Male,Maybe
295,Yes,Trans non-binary/genderfluid,No
296,I don't know,Female,No
297,No,Female,Yes
298,No,male,No
299,No,m,No
300,I don't know,Female,Yes
301,I don't know,Male,Maybe
302,Yes,Female,Maybe
303,No,male,Yes
304,I don't know,Male,Yes
305,No,F,No
306,No,,No
307,Yes,Female,Maybe
308,No,Male,
309,I don't know,Female,
310,Yes,Male,Maybe
311,Yes,,Yes
312,Yes,Female,Maybe
313,Yes,Male,Yes
314,Yes,female,Yes
315,No,CIS Male,Yes
316,Yes,female,
317,No,Male,No
318,No,Female,
319,No,m,Maybe
320,Yes,Male,No
321,Yes,agender,Maybe
322,I don't know,Female,Yes
323,I don't know,Male,Maybe
324,No,male,Yes
325,I don't know,M,No
326,I don't know,Male,Maybe
327,No,Male,Yes
328,Yes,Female,Maybe
329,Yes,Female,Maybe
330,Yes,Female,Maybe
331,Yes,Male,Yes
332,No,Male,No
333,I don't know,Male,No
334,Yes,male,Maybe
335,No,Male,Yes
336,Yes,M,No
337,Yes,Non-binary and gender fluid,Maybe
338,No,Male,Yes
339,Yes,male,No
340,I don't know,Female,Yes
341,Yes,female,No
342,Yes,Male,Maybe
343,I don't know,Male,
344,Yes,Female,No
345,Yes,Femile,Yes
346,No,female,No
347,No,male,No
348,No,m,
349,No,M,
350,No,female,Maybe
351,Yes,Female (cis),No
