,family_history,sex,peer_discussion
364,No,Male,Some of them
365,Yes,Male,No
366,Yes,Male,Some of them
367,Yes,Male,Some of them
368,Yes,Male,Yes
369,No,Male,Some of them
370,No,Female,No
371,Yes,Male,Yes
372,Yes,Male,Yes
373,No,Female,Some of them
374,Yes,Female,Some of them
375,No,Male,No
376,No,Female,No
377,Yes,Female,Some of them
378,Yes,Female,Some of them
379,Yes,Female,No
380,No,Male,Some of them
381,No,Male,Some of them
382,Yes,Make,Yes
383,Yes,Male,Yes
384,No,Male,Some of them
385,Yes,Female,No
386,No,Male,Some of them
387,Yes,Nah,Some of them
388,No,Female,Some of them
389,Yes,Female,Some of them
390,Yes,Other,No
391,Yes,Female,No
392,No,Male,Some of them
393,Yes,Male,Yes
394,Yes,Female,No
395,No,Male,Some of them
396,No,Male,No
397,No,Male,Some of them
398,No,Female,No
399,No,Male,Some of them
400,Yes,Male,Some of them
401,Yes,Male,Some of them
402,No,Male,Some of them
403,Yes,Male,Some of them
404,Yes,Male,Some of them
405,Yes,Male,Some of them
406,Yes,Male,Yes
407,No,Male,Some of them
408,No,Male,Yes
409,Yes,Female,No
410,Yes,Male,No
411,Yes,Female,No
412,Yes,Male,Some of them
413,Yes,Other,No
414,No,Female,Some of them
415,Yes,Male,Some of them
416,Yes,fluid,Yes
417,No,Male,Some of them
418,No,Male,Yes
419,Yes,Male,No
420,Yes,Male,Yes
421,No,Male,Some of them
422,Yes,Male,Yes
423,Yes,Male,Some of them
424,No,Female,No
425,No,Male,Some of them
426,Yes,Male,Some of them
427,No,Female,Some of them
428,No,Male,Yes
429,No,Female,Some of them
430,No,Male,Some of them
431,Yes,Female,No
432,No,Male,Some of them
433,No,Male,Yes
434,No,Female,Some of them
435,No,Male,Some of them
436,No,Male,Some of them
437,No,Male,Some of them
438,No,Female,Some of them
439,Yes,Male,Yes
440,Yes,Male,No
441,No,Male,No
442,No,Male,Some of them
443,No,Female,Some of them
444,Yes,Male,Yes
445,Yes,Male,Some of them
446,Yes,Male,Some of them
447,No,Female,Some of them
448,No,Male,Some of them
449,Yes,Male,Some of them
450,Yes,Male,Yes
451,Yes,Other,No
452,Yes,Male,Some of them
453,No,Male,Some of them
454,Yes,Male,No
455,No,Male,Yes
456,No,Male,Some of them
457,Yes,Male,No
458,No,Male,Some of them
459,No,Male,Some of them
460,No,Male,Some of them
461,No,Female,Some of them
462,No,Make,Some of them
463,Yes,Female,Some of them
464,Yes,Male,Some of them
465,No,Male,Some of them
466,Yes,Male,Some of them
467,No,Male,No
468,No,Male,Yes
469,No,Female,Some of them
470,No,Male,Some of them
471,No,Male,Some of them
472,No,Male,No
473,No,Female,Some of them
474,No,Male,Some of them
475,No,Male,No
476,Yes,Male,Some of them
477,Yes,Male,Yes
478,No,Male,No
479,No,Female,Some of them
480,No,Male,Yes
481,No,Male,No
482,Yes,Female,Some of them
483,No,Male,Some of them
484,No,Male,No
485,No,Male,Some of them
486,Yes,Female,Some of them
487,Yes,Male,Yes
488,No,Male,Some of them
489,No,Male,Some of them
490,No,Male,No
491,No,Male,Some of them
492,No,Male,Some of them
493,Yes,Female,Some of them
494,No,Male,Some of them
495,Yes,Female,Some of them
496,No,Male,Some of them
497,Yes,Female,Some of them
498,No,Male,Yes
499,No,Male,Some of them
500,No,Female,No
501,Yes,Male,Some of them
502,No,Male,No
503,No,Male,Yes
504,No,Female,No
505,No,Male,Some of them
506,No,Male,Yes
507,Yes,Male,Yes
508,Yes,Male,Some of them
509,No,Male,Some of them
510,No,Female,Some of them
511,No,Female,Some of them
512,No,Male,No
513,No,Male,Yes
514,Yes,Male,No
515,No,Male,Some of them
516,No,Male,Some of them
517,Yes,Female,Yes
518,No,Male,Some of them
519,Yes,Male,Yes
520,No,Male,Some of them
521,No,Female,Some of them
522,No,Male,No
523,Yes,Male,No
524,Yes,Male,Some of them
525,Yes,Female,Some of them
526,No,Male,Some of them
527,No,Male,No
528,No,Male,No
529,Yes,Female,Some of them
530,No,Male,Some of them
531,No,Male,Yes
532,Yes,Female,No
533,No,Male,Some of them
534,No,Male,No
535,Yes,Female,Some of them
536,Yes,Male,Some of them
537,Yes,Male,No
538,No,Male,Some of them
539,Yes,Female,Some of them
540,Yes,Female,No
541,Yes,Female,Yes
542,No,Male,Yes
543,Yes,Female,Some of them
544,Yes,Female,Some of them
545,No,Female,No
546,No,Male,Yes
547,Yes,Male,Some of them
548,Yes,Male,Some of them
549,No,Male,Some of them
550,Yes,Female,Some of them
551,No,Male,Some of them
552,No,Female,Some of them
553,No,Other,Some of them
554,Yes,Female,Some of them
555,No,Female,Some of them
556,No,Male,Some of them
557,No,Male,Some of them
558,Yes,Male,Some of them
559,No,Male,Some of them
560,No,Male,Some of them
561,Yes,Male,Some of them
562,No,Male,Some of them
563,No,Male,Some of them
564,No,Male,Some of them
565,No,Male,Some of them
566,No,Male,Yes
567,No,Male,Yes
568,Yes,Male,No
569,Yes,Make,Some of them
570,Yes,Male,Some of them
571,No,Make,Yes
572,No,Female,Some of them
573,Yes,Female,Yes
574,No,Male,No
575,Yes,Male,Yes
576,No,Male,Yes
577,Yes,Male,Some of them
578,No,Male,Some of them
579,Yes,Male,Some of them
580,Yes,Male,Some of them
581,Yes,Male,Some of them
582,No,Male,Some of them
583,No,Male,Some of them
584,No,Male,Some of them
585,No,Female,Yes
586,No,Male,Some of them
587,No,Female,Some of them
588,Yes,Male,Yes
589,No,Male,Yes
590,Yes,Male,Some of them
591,Yes,Male,Some of them
592,Yes,Male,Some of them
593,Yes,Male,Some of them
594,Yes,Male,Some of them
595,No,Male,Some of them
596,Yes,Female,No
597,No,Male,No
598,No,Male,Yes
599,Yes,Male,Some of them
600,Yes,Male,Some of them
601,Yes,Male,Yes
602,Yes,Male,No
603,Yes,Female,Yes
604,No,Male,No
605,No,Male,Some of them
606,No,Male,Some of them
607,No,Male,Some of them
608,No,Male,Yes
609,No,Male,No
610,No,Male,Some of them
611,No,Male,Some of them
612,No,Male,Some of them
613,No,Male,Some of them
614,No,Male,Some of them
615,No,Male,Yes
616,No,Male,Some of them
617,Yes,Male,Some of them
618,Yes,Male,Some of them
619,Yes,Male,Some of them
620,Yes,Male,Some of them
621,No,Male,Some of them
622,No,Female,Some of them
623,Yes,Female,No
624,Yes,Female,Some of them
625,Yes,Female,No
626,Yes,Male,Some of them
627,Yes,Male,Some of them
628,No,Other,Some of them
629,Yes,Male,Some of them
630,No,Female,No
631,Yes,Male,Some of them
632,No,Male,Yes
633,No,Female,Some of them
634,No,Male,Some of them
635,No,Male,Some of them
636,Yes,Male,Some of them
637,No,Male,Some of them
638,No,Male,Some of them
639,Yes,Male,No
640,No,Male,Some of them
641,No,Male,Some of them
642,Yes,Female,Some of them
643,No,Male,No
644,Yes,Female,Some of them
645,No,Male,No
646,Yes,Male,Some of them
647,No,Male,Some of them
648,Yes,Female,Yes
649,No,Female,No
650,No,Male,Some of them
651,Yes,Male,No
652,Yes,Male,Some of them
653,Yes,Female,No
654,No,Male,No
655,No,Male,Yes
656,No,Male,Some of them
657,No,Male,Some of them
658,Yes,Male,Some of them
659,No,Male,Some of them
660,No,Female,Some of them
661,No,Male,Some of them
662,No,Male,Some of them
663,No,Male,Some of them
664,No,Male,Some of them
665,No,Male,Some of them
666,No,Male,Some of them
667,No,Male,No
668,No,Male,No
669,No,Male,Some of them
670,No,Male,Some of them
671,Yes,Male,No
672,No,Male,Some of them
673,Yes,Female,Some of them
674,Yes,Male,Some of them
675,No,Male,Some of them
676,No,Male,Some of them
677,Yes,Female,No
678,No,Male,Yes
679,No,Male,Yes
680,No,Male,Some of them
681,No,Male,Some of them
682,Yes,Other,No
683,No,Female,No
684,No,Female,Some of them
685,Yes,Female,No
686,Yes,Female,Some of them
687,Yes,Male,Some of them
688,No,Male,Some of them
689,No,Female,Yes
690,No,Male,Some of them
691,No,Male,Yes
692,No,Male,Some of them
693,No,Female,Some of them
694,No,Male,No
695,No,Male,No
696,No,Male,Some of them
697,No,Female,No
698,No,Male,Some of them
699,No,Male,Some of them
700,No,Male,Some of them
701,Yes,Male,Yes
702,Yes,Male,Yes
703,No,Male,Some of them
704,Yes,Male,No
705,No,Male,Yes
706,No,Male,Some of them
707,No,Male,Yes
708,No,Female,Some of them
709,No,Male,Yes
710,No,Male,Some of them
711,No,Male,Yes
712,Yes,Male,Some of them
713,No,Male,Some of them
714,Yes,Male,Some of them
715,No,Male,No
716,No,Male,Some of them
717,No,Male,Yes
718,Yes,Male,Some of them
719,No,Male,Yes
720,No,Male,Some of them
721,Yes,Male,Some of them
722,No,Male,Yes
723,Yes,Male,Some of them
724,Yes,Male,Some of them
725,No,Male,Some of them
726,No,Male,Some of them
727,Yes,Male,No
728,No,Male,Yes
729,No,Male,Yes
730,No,Male,Yes
731,No,Male,Yes
732,No,Male,Yes
733,No,Male,Yes
734,No,Male,Yes
735,No,Male,Yes
736,No,Male,Some of them
737,No,Male,Some of them
738,No,Male,Yes
739,Yes,Male,No
740,Yes,Male,Some of them
741,No,Male,No
742,No,Male,No
743,Yes,Male,Some of them
744,No,Male,Some of them
745,No,Male,Some of them
746,No,Male,Some of them
747,No,Male,Some of them
748,Yes,Male,Some of them
749,No,Male,Some of them
750,Yes,Male,Some of them
751,No,Male,Some of them
752,Yes,Male,Some of them
753,No,Male,Some of them
754,No,Male,Some of them
755,Yes,Female,Some of them
756,Yes,Female,No
757,Yes,Male,No
758,No,Male,No
759,No,Male,Some of them
760,Yes,Male,No
761,Yes,Female,Yes
762,Yes,Male,Yes
763,Yes,Male,No
764,No,Female,Some of them
765,No,Male,Some of them
766,Yes,Female,Some of them
767,No,Male,Some of them
768,No,Female,Some of them
769,No,Male,Some of them
770,No,Male,Some of them
771,Yes,Male,Yes
772,No,Male,Some of them
773,No,Male,Some of them
774,Yes,Male,Some of them
775,No,Male,Some of them
776,No,Other,No
777,No,Other,Yes
778,No,Female,Some of them
779,No,Female,Yes
780,No,Male,Yes
781,No,Male,Yes
782,Yes,Male,Some of them
783,No,Male,Yes
784,No,Male,Some of them
785,Yes,Male,Some of them
786,Yes,Male,No
787,Yes,Male,Some of them
788,No,Male,Yes
789,No,Male,Some of them
790,No,Male,Some of them
791,No,Male,Some of them
792,No,Female,Some of them
793,No,Female,No
794,Yes,Female,Some of them
795,No,Male,Some of them
796,Yes,Female,Some of them
797,No,Male,Some of them
798,Yes,Male,Some of them
799,No,Female,Some of them
800,No,Male,Yes
801,Yes,Male,Some of them
802,No,Male,No
803,No,Female,Some of them
804,No,Male,Some of them
805,No,Other,Some of them
806,Yes,Female,Some of them
807,Yes,Female,No
808,No,Male,Yes
809,Yes,Male,Some of them
810,No,Male,Some of them
811,No,Male,Some of them
812,No,Male,Some of them
813,No,Male,Some of them
814,No,Female,Some of them
815,No,Female,No
816,Yes,Male,Some of them
817,Yes,Male,Some of them
818,No,Other,Some of them
819,Yes,Male,Some of them
820,Yes,Female,Some of them
821,Yes,Male,Some of them
822,No,Male,No
823,No,Male,Some of them
824,No,Male,Some of them
825,Yes,Female,No
826,No,Male,Some of them
827,No,Male,Some of them
828,No,Female,Some of them
829,Yes,Male,Some of them
830,Yes,Male,Some of them
831,No,Male,Some of them
832,No,Male,Some of them
833,Yes,Female,Yes
834,No,Male,No
835,Yes,Male,Some of them
836,Yes,Female,Some of them
837,No,Female,No
838,Yes,Male,Some of them
839,No,Male,Some of them
840,No,Male,Some of them
841,No,Male,Yes
842,Yes,Female,Yes
843,No,Male,Some of them
844,Yes,Male,Some of them
845,No,Male,Some of them
846,No,Male,Some of them
847,No,Male,Yes
848,Yes,Male,Yes
849,No,Male,Some of them
850,No,Male,No
851,Yes,Male,No
852,Yes,Male,Some of them
853,No,Male,Some of them
854,Yes,Male,Some of them
855,Yes,Male,Some of them
856,No,Male,Yes
857,No,Male,Some of them
858,No,Male,Some of them
859,Yes,Male,Some of them
860,Yes,Male,Some of them
861,No,Male,Yes
862,No,Male,Some of them
863,Yes,Male,Some of them
864,No,Male,No
865,No,Male,No
866,Yes,Male,Some of them
867,No,Male,Some of them
868,No,Male,Some of them
869,No,Male,Some of them
870,No,Male,Yes
871,Yes,Female,Some of them
872,No,Male,Some of them
873,No,Male,Some of them
874,Yes,Male,No
875,Yes,Male,No
876,No,Male,Some of them
877,No,Male,No
878,Yes,Female,No
879,No,Male,No
880,Yes,Male,Some of them
881,No,Mail,Some of them
882,No,Male,Some of them
883,No,Male,Some of them
884,Yes,Male,Some of them
885,Yes,Male,No
886,No,Male,Some of them
887,Yes,Male,Some of them
888,No,Male,Some of them
889,Yes,Male,Some of them
890,Yes,Male,Some of them
891,Yes,Male,Some of them
892,Yes,Male,Some of them
893,Yes,Male,Some of them
894,Yes,Male,Some of them
895,No,Male,Some of them
896,No,Male,Some of them
897,No,Male,Some of them
898,No,Male,Some of them
899,No,Male,Some of them
900,Yes,Male,No
901,Yes,Male,Some of them
902,No,Female,Some of them
903,No,Male,No
904,No,Male,Some of them
905,Yes,Male,No
906,No,Male,No
907,Yes,Female,No
908,No,Male,No
909,No,Male,Yes
910,No,Male,Some of them
911,No,Male,Some of them
912,Yes,Female,Yes
913,Yes,Male,Yes
914,Yes,Female,Some of them
915,No,Male,Some of them
916,No,Male,Some of them
917,No,Male,Some of them
918,No,Male,Some of them
919,Yes,Female,No
920,Yes,Male,Some of them
921,Yes,Male,Some of them
922,Yes,Male,Some of them
923,No,Male,Some of them
924,Yes,Male,Yes
925,No,Male,No
926,Yes,Male,No
927,No,Male,Some of them
928,No,Male,Yes
929,Yes,Male,Some of them
930,Yes,Female,Some of them
931,No,Male,Some of them
932,No,Male,Some of them
933,Yes,Male,No
934,Yes,Male,Some of them
935,Yes,Male,No
936,No,Male,No
937,Yes,Male,Yes
938,No,Male,Some of them
939,Yes,Male,Some of them
940,Yes,Male,Some of them
941,Yes,Male,Some of them
942,Yes,Female,Some of them
943,Yes,Male,Some of them
944,Yes,Male,Some of them
945,Yes,Male,Some of them
946,No,Male,Some of them
947,No,Male,Yes
948,No,Male,Some of them
949,Yes,Male,Some of them
950,No,Male,Yes
951,Yes,Male,Some of them
952,No,Male,Some of them
953,Yes,Female,Some of them
954,No,Male,Some of them
955,Yes,Male,Some of them
956,Yes,Male,No
957,Yes,Male,Yes
958,No,Male,Some of them
959,No,Male,Some of them
960,No,Male,No
961,No,Male,Some of them
962,No,Male,Yes
963,Yes,Male,Some of them
964,No,Male,No
965,Yes,Male,Some of them
966,Yes,Female,Some of them
967,No,Male,Yes
968,Yes,Male,Some of them
969,No,Female,Some of them
970,No,Male,No
971,No,Male,No
972,Yes,Male,Yes
973,Yes,Male,Yes
974,No,Male,Some of them
975,No,Male,Some of them
976,No,Male,Some of them
977,Yes,Male,No
978,No,Male,No
979,Yes,Male,Yes
980,Yes,Male,Some of them
981,Yes,Female,Some of them
982,Yes,Female,Some of them
983,Yes,Male,Some of them
984,No,Male,Yes
985,No,Male,Yes
986,Yes,Female,No
987,No,Male,No
988,Yes,Male,No
989,Yes,Other,Yes
990,No,Male,Some of them
991,No,Male,Yes
992,Yes,Female,Some of them
993,No,Male,No
994,No,Male,No
995,No,Male,Some of them
996,No,Male,Some of them
997,Yes,Female,No
998,No,Male,No
999,No,Male,No
1000,Yes,Male,Yes
1001,Yes,Male,Some of them
1002,Yes,Male,Yes
1003,No,Female,Some of them
1004,Yes,Male,Some of them
1005,No,Male,Yes
1006,Yes,Male,Yes
1007,No,Male,Some of them
1008,Yes,Male,Some of them
1009,No,Female,No
1010,No,Male,No
1011,No,Female,No
1012,Yes,Female,Some of them
1013,Yes,Female,Some of them
1014,No,Male,Some of them
1015,No,Male,Some of them
1016,No,Female,Yes
1017,No,Other,Some of them
1018,Yes,Male,Some of them
1019,No,Male,Some of them
1020,No,Male,Some of them
1021,Yes,Female,Some of them
1022,No,Male,Yes
1023,No,Male,No
1024,Yes,Male,Some of them
1025,Yes,Male,Some of them
1026,No,Female,Some of them
1027,No,Male,Some of them
1028,Yes,Female,No
1029,No,Male,Some of them
1030,Yes,Male,Some of them
1031,Yes,Male,Yes
1032,Yes,Male,Some of them
1033,Yes,Female,No
1034,No,Male,No
1035,Yes,Male,No
1036,Yes,Male,Yes
1037,No,Male,Some of them
1038,No,Female,Some of them
1039,No,Male,No
1040,Yes,Female,Some of them
1041,No,Male,Some of them
1042,Yes,Male,No
1043,No,Male,Some of them
1044,No,Female,Some of them
1045,Yes,Female,Some of them
1046,Yes,Male,Some of them
1047,Yes,Male,Some of them
1048,No,Male,Some of them
1049,Yes,Male,Yes
1050,Yes,Female,Some of them
1051,Yes,Female,No
1052,Yes,Male,Some of them
1053,No,Male,Some of them
1054,No,Male,Some of them
1055,Yes,Male,Some of them
1056,No,Male,Some of them
1057,No,Male,Some of them
1058,Yes,Male,Some of them
1059,No,Female,Some of them
1060,No,Female,Some of them
1061,No,Male,Some of them
1062,No,Male,No
1063,No,Male,Some of them
1064,Yes,Male,Yes
1065,Yes,Male,Some of them
1066,No,Male,No
1067,No,Male,No
1068,No,Male,Some of them
1069,No,Male,Some of them
1070,No,Female,Some of them
1071,No,Male,No
1072,No,Male,Some of them
1073,No,Male,Some of them
1074,No,Male,Some of them
1075,Yes,Male,No
1076,Yes,Male,Some of them
1077,Yes,Female,Yes
1078,Yes,Female,No
1079,No,Male,Some of them
1080,Yes,Male,Yes
1081,Yes,Male,Yes
1082,Yes,Female,No
1083,Yes,Female,Some of them
1084,Yes,Male,Some of them
1085,No,Male,Yes
1086,No,Male,Yes
1087,Yes,Male,Some of them
1088,No,Male,Some of them
1089,Yes,Female,Some of them
1090,No,Male,Some of them
1091,Yes,Male,Some of them
1092,Yes,Male,Yes
1093,No,Male,No
1094,No,Male,No
1095,No,Male,No
1096,Yes,Male,Yes
1097,Yes,Male,Some of them
1098,No,Male,Some of them
1099,No,Male,Yes
1100,No,Male,Some of them
1101,Yes,Male,Some of them
1102,Yes,Female,No
1103,Yes,Female,Yes
1104,No,Male,Some of them
1105,No,Male,No
1106,No,Male,Some of them
1107,Yes,Male,Yes
1108,No,Female,No
1109,No,Male,Some of them
1110,Yes,Male,Some of them
1111,No,Male,Yes
1112,No,Male,Some of them
1113,Yes,Male,Yes
1114,No,Male,Some of them
1115,No,Male,No
1116,No,Male,Yes
1117,Yes,Male,No
1118,Yes,Male,No
1119,No,Male,No
1120,No,Male,Some of them
1121,No,Male,Some of them
1122,No,Female,Some of them
1123,No,Female,Some of them
1124,No,Male,No
1125,Yes,Male,Yes
1126,No,Female,Some of them
1127,Yes,Other,Yes
1128,Yes,Male,Some of them
1129,No,Male,No
1130,Yes,Female,Some of them
1131,No,Male,No
1132,Yes,Female,Some of them
1133,No,Male,No
1134,No,Male,No
1135,No,Male,Yes
1136,Yes,Male,Some of them
1137,Yes,Male,Some of them
1138,Yes,Male,No
1139,No,Male,Some of them
1140,No,Male,Yes
1141,No,Male,No
1142,No,Male,No
1143,Yes,Female,No
1144,No,Male,Yes
1145,Yes,Female,No
1146,Yes,Male,Some of them
1147,Yes,Male,Some of them
1148,Yes,Male,No
1149,No,Male,No
1150,No,Male,Some of them
1151,No,Male,Some of them
1152,Yes,Male,Yes
